N,Average Price,Average Survival Rate,Standard Error,Efficiency
1,0.0080619,0.00505255,0.086978,0.00113284
2,0.00804656,0.00504612,0.190684,0.0064924
4,0.0080583,0.00505756,0.252806,0.0101281
8,0.00801687,0.0050488,0.489448,0.0508385
16,0.0080929,0.00504956,0.685614,0.155177
32,0.00811187,0.00506694,0.757716,0.281352
64,0.00799384,0.0050798,0.899412,0.654576
128,0.00814574,0.00508637,0.922478,1.25155
